Customer Remarks,CSAT Score,cleaned_remarks
Good job ,5,good job
Very good working ???? Shopzilla I am happy,5,good working shopzilla happy
Plzz resolve my issue.Have already contacted customer service many times.They are assuring for solution.But The technical is not visiting my address.Thankyou!,5,plzz resolve issue already contacted customer service many times assuring solution technical not visiting address thankyou
Very nice ,5,nice
Customer Service is Very Good,5,customer service good
Thanks ,5,thanks
Nice experience,5,nice experience
Good supporting ,5,good supporting
God,5,god
Very good,5,good
Very good ,5,good
Shipping address phone number should be changeble.,5,shipping address phone number changeble
Good service ,5,good service
Good ,5,good
Keep some other options for return request such as physical issues and also options for refund.,3,keep options return request physical issues also options refund
No othorite cotmar care,2,no othorite cotmar care
Please reduce response time ,4,please reduce response time
The way of talking is very nice and sounding good ..Excellent work poonam keep it up.,5,way talking nice sounding good excellent work poonam keep
Shopzilla didn\u2019t resolve my issue. The product that I purchased from your website is a mono channel speaker but you mention in specification that its configuration channel is stereo and I can\u2019t return this product on the basis of this false description by Shopzilla. This is how you deal your customer .,3,shopzilla u2019t resolve issue product purchased website mono channel speaker mention specification configuration channel stereo u2019t return product basis false description shopzilla deal customer
Good,5,good
Excellent ,5,excellent
Please remove no return policy. Every product should have return policy. ,5,please remove no return policy every product return policy
"Shopzilla's customer care service is good for nothing. The idea is to defend the indefensible. Simply, parroting that cancellation of order was from the seller and there is no way to restore it again is absolutely undesirable and frivolous behaviour. The pricing of the said item at a special price of Re.1/- was based on the condition of a minimum purchase amount. So, how can Shopzilla shirk it's responsibility by saying that the cancellation was from the seller due to quality issues when it is very evident that the act is malafide and with a cheating motive. Why was the item not part of the rest of the order? Why was I delivered  part of the order conducive to the seller and the other part shown as available in the nearest hub. I would have exercised the option of returning the whole order. Importantly, my transaction has been with Shopzilla and it should take responsibility for such arbitrary and malafide cancellation. You should be concerned about your own goodwill and put an end to such incidents. The onus is on Shopzilla to maintain the sanctity of the transaction by ensuring the delivery of the said item. Wrong things keep happening but you should be fair in resolving a genuine grievance of a customer. Please look at your competitors like SuperBuy and Jio Mart for inspiration. I can share with you instances on how well they address customer grievances, with documentary proof. Hope to see a resolution to the long pending complaint by escalation of the issue to the right team since the team handling it till now has been a big dissapoinment. Just for information, such complaints are easily handled by the first level in the above mentioned e-commerce sites.",2,shopzilla customer care service good nothing idea defend indefensible simply parroting cancellation order seller no way restore absolutely undesirable frivolous behaviour pricing said item special price 1 based condition minimum purchase amount shopzilla shirk responsibility saying cancellation seller due quality issues evident act malafide cheating motive item not part rest order delivered part order conducive seller part shown available nearest hub would exercised option returning whole order importantly transaction shopzilla take responsibility arbitrary malafide cancellation concerned goodwill put end incidents onus shopzilla maintain sanctity transaction ensuring delivery said item wrong things keep happening fair resolving genuine grievance customer please look competitors like superbuy jio mart inspiration share instances well address customer grievances documentary proof hope see resolution long pending complaint escalation issue right team since team handling till big dissapoinment information complaints easily handled first level mentioned e commerce sites
Lost trust on Shopzilla ,1,lost trust shopzilla
Add bangla ,5,add bangla
Thank you,1,thank
After so many time this employee my problem resolve properly and raises a request Good behaviour Very good Thanks ,5,many time employee problem resolve properly raises request good behaviour good thanks
Nice person ,5,nice person
She was very sweet n polite wish her all the very best,5,sweet n polite wish best
Please help every time & In any situation ,5,please help every time situation
It is wonderful experience to talk to the person who is dealing with issues resolving process...so happy to know about the reply and response ,5,wonderful experience talk person dealing issues resolving process happy know reply response
We want Other representatives also ,5,want representatives also
Please reduce the time of response against query and resolve as soon as possible ,5,please reduce time response query resolve soon possible
Excellent ,5,excellent
Need a callback ,1,need callback
Yes,5,yes
Nice,5,nice
ver nice,5,ver nice
Good,5,good
His way speaking was very polit,5,way speaking polit
NYC..mem,5,nyc mem
No,5,no
Good overall ,5,good overall
Thank you ,5,thank
Good,5,good
Thanks Shopzilla ,5,thanks shopzilla
The executive did not solved my issue ,1,executive not solved issue
Waited for 10 mins to connect to executive ,4,waited 10 mins connect executive
No,5,no
Worst support,1,worst support
nice,5,nice
Very quick response by customer support executive. Please provide more information in application/website itself. Thanks Shopzilla! Be honest!! Keep growing ??,5,quick response customer support executive please provide information application website thanks shopzilla honest keep growing
Good ,5,good
Kindly remove all bad quality products ,5,kindly remove bad quality products
Good Service,5,good service
Ashima Has provide excellent resolution,5,ashima provide excellent resolution
Good ,5,good
The customer care service is really good,5,customer care service really good
Good ,5,good
Worst Support Executives.Don't know minimum common sense how to speak to customers.Continuously making the customers to stay in hold.,1,worst support executives know minimum common sense speak customers continuously making customers stay hold
Product should be delivered in original brand packing along with invoice ,5,product delivered original brand packing along invoice
Shopzilla se order nahi Karo ga. Aab se ,1,shopzilla se order nahi karo ga aab se
Zoo,5,zoo
Very good ,5,good
The person whom I have talked is really very nice person she had give her 27 minutes for resolving my problem with full dedication and I have never experienced this from any of the customer support please promote these persons,5,person talked really nice person give 27 minutes resolving problem full dedication never experienced customer support please promote persons
Shopzilla has very very very poor customer service. Very much disappointed. My issue wasn't resolved still now,1,shopzilla poor customer service much disappointed issue resolved still
Money deducted from my account and refund not yet received,3,money deducted account refund not yet received
Easy to reach to customer care. ?? ,5,easy reach customer care
"Once an issue is reported, the resolving should be reduced to same day or next day instead of existing 4-7 days",5,issue reported resolving reduced day next day instead existing 4 7 days
Very good men,5,good men
Please give fast delivery ,5,please give fast delivery
Nice job,5,nice job
delivery boy effort sensible person one time is not receive item then cancel the product automatically,4,delivery boy effort sensible person one time not receive item cancel product automatically
VERY GOOD ,5,good
Customers liye,1,customers liye
Good,5,good
Bleady open box delivery ,2,bleady open box delivery
Answer is very responsible defferent from others,5,answer responsible defferent others
Good service ??,5,good service
While purchase and order information of return and replacement meaning should be explained effectively on order page sothat after item received issues may not come.,5,purchase order information return replacement meaning explained effectively order page sothat item received issues may not come
No option for choosing multiple query or issue and also no picture uploading option in term of exchange or Reutern,5,no option choosing multiple query issue also no picture uploading option term exchange reutern
Proper coustomer support ,5,proper coustomer support
Good,5,good
Reshma took care of my issue professionally and I loved the way she explained me the process.Great work,5,reshma took care issue professionally loved way explained process great work
"Your delivery/pickup partners and pickup executives are providing worst possible service. When pickup guy never came to pickup the order and still marked the product as product mismatched. Your support executive disconnected the line in between and neither bothered to call back nor provide any resolution instead ticket was closed. Very good going, doom days are not far ahead at this pace!!!!",1,delivery pickup partners pickup executives providing worst possible service pickup guy never came pickup order still marked product product mismatched support executive disconnected line neither bothered call back nor provide resolution instead ticket closed good going doom days not far ahead pace
Ok,4,ok
Good help Shopzilla Shopzilla ,5,good help shopzilla shopzilla
Very bad service,1,bad service
Good talking ,5,good talking
Helpfull coustomer service and  sweetly talk with me every time i talk to them,5,helpfull coustomer service sweetly talk every time talk
Happy with service,3,happy service
Nice ,5,nice
Outstanding ,5,outstanding
Great ??????,5,great
nothing to tell,5,nothing tell
Very bad,1,bad
Return and replacement policy with 7 days but customer care say this item not return only replacement this is not fair with customer recommend Shopzilla service not good I am unhappy with Shopzilla journy ,1,return replacement policy 7 days customer care say item not return replacement not fair customer recommend shopzilla service not good unhappy shopzilla journy
Best information ,5,best information
Good service by Shopzilla,5,good service shopzilla
Thank you  .Very nice customer care service ,5,thank nice customer care service
Good,5,good
Nice ,5,nice
Thank you so much   .For calling with you ,5,thank much calling
Shopzilla wrost online shopping app.,1,shopzilla wrost online shopping app
Good service ,5,good service
She is a very good personality ??,5,good personality
Good ,5,good
Please solve my problem ,5,please solve problem
Good ,3,good
Donot authorize sellers who turned out to be so much careless and not worried of customers need,3,donot authorize sellers turned much careless not worried customers need
Give proper ans to our   don't be on hold don't be irritated our  ,1,give proper ans hold irritated
Nothing Solve My quiery. That produc which is delivered to me is very old around  one year. No any support by Shopzilla. I have told for new product but on Shopzilla side not Give a respond  for new product. Very bad experience. Not good service provide by Shopzilla. ,2,nothing solve quiery produc delivered old around one year no support shopzilla told new product shopzilla side not give respond new product bad experience not good service provide shopzilla
Very good ,5,good
Customer service is amazing but due to some seller I'm upset as they do not delivered proper item,5,customer service amazing due seller upset not delivered proper item
Ok,5,ok
Please refund my payment ,5,please refund payment
Not good ,1,not good
Good and polite ,5,good polite
Good,5,good
Thank u,4,thank u
Good sir ,5,good sir
Umm the customer care service is good ,4,umm customer care service good
Good ,5,good
SuperBuy is best,1,superbuy best
Improve refund policy,5,improve refund policy
Very good ,5,good
Good,5,good
Return & refund ,1,return refund
Excellent communication ,5,excellent communication
Customer Support Executive help in good manners and try to resolve my issue very easily,5,customer support executive help good manners try resolve issue easily
  mast h,5,mast h
Very good ,5,good
Remove bad sellers from Shopzilla platform ,5,remove bad sellers shopzilla platform
Many more information provided by customer support from customer as on order status increase. ,5,many information provided customer support customer order status increase
Ok,5,ok
I'm satisfied communication with customer executive ,5,satisfied communication customer executive
Received remote control of TV but stopped display one digit Supplier 7 days replacement was over so no support by Shopzilla though product is in warranty.Unhappy policy of Shopzilla and seller both.Will not recommend to another customer for this product in future,5,received remote control tv stopped display one digit supplier 7 days replacement no support shopzilla though product warranty unhappy policy shopzilla seller not recommend another customer product future
Shopzilla is getting worse day by day. This Message for Shopzilla not for the advisor ,5,shopzilla getting worse day day message shopzilla not advisor
return policy is not adequate....,1,return policy not adequate
Please   hai wahi deliver ho aisi policy banaiye jo koi bhi wrong ya mismatch product delivered kar rahe hai unhe Shopzilla ke app se out kar dijiye unka koi bhi product Shopzilla platform par na aane dijiyega please aisi policy    .,1,please hai wahi deliver ho aisi policy banaiye jo koi bhi wrong ya mismatch product delivered kar rahe hai unhe shopzilla ke app se kar dijiye unka koi bhi product shopzilla platform par na aane dijiyega please aisi policy
Good,5,good
Super hero ,5,super hero
Please provide details of courier boy in delivery message so if anything happens we can contact him directly. ,5,please provide details courier boy delivery message anything happens contact directly
My issues is not resolve and ,1,issues not resolve
Very good customer service ,5,good customer service
Delivery executives behavior was pathetic,5,delivery executives behavior pathetic
Very good resolved my issue Thx ??,5,good resolved issue thx
Ok,2,ok
Good ,5,good
Castmar care sports,5,castmar care sports
No,5,no
Good support helped me with exact delivery agent number.,5,good support helped exact delivery agent number
Respectively talking for customer,2,respectively talking customer
he disconnects my call during the conversation and didn't call back ,1,disconnects call conversation call back
Happy ,5,happy
Be truthfull,1,truthfull
Nice customer care ,1,nice customer care
Nothing ,5,nothing
Thanks To Shopzilla,5,thanks shopzilla
Thanks ,5,thanks
Customer executive was good person but make your policies easier ,2,customer executive good person make policies easier
Customer care service is not proper. Please enhance your service to resolve the issue of Customer on priority basis ,1,customer care service not proper please enhance service resolve issue customer priority basis
Thank you   ????,3,thank
thanks ,5,thanks
My problem was not solved yet.i hope it will have been solved ,5,problem not solved yet hope solved
Very good ,5,good
Try to solve issues quickly ,2,try solve issues quickly
Nice,5,nice
"I have only one request, Kindly share a hard copy of the invoice at the time of the delivery of the grocery products, as so many SKUs are there, and my booking & delivery location is different.",5,one request kindly share hard copy invoice time delivery grocery products many skus booking delivery location different
Very good thanku so much,4,good thanku much
Service not good provide defective peice no replacement ,1,service not good provide defective peice no replacement
Good,5,good
More than better in future ,4,better future
No,5,no
"Improve product delivery on time, we are not getting any product on time. ",5,improve product delivery time not getting product time
My query about my review still not resolve,3,query review still not resolve
Very good ,5,good
Its good ,5,good
Impressed ,5,impressed
The executive was so good ,5,executive good
Thankhs,5,thankhs
Very worst customer support ,1,worst customer support
"Keep call option seperate, don't integrate in ai support",4,keep call option seperate integrate ai support
Good ,5,good
Now a days orders were getting more delayed Not at all receiving any informationAnd courier partners were not at all calling while it on our for deliveryNot yet received any message or emails or phone callsWorst experience ever ,2,days orders getting delayed not receiving informationand courier partners not calling deliverynot yet received message emails phone callsworst experience ever
Thanks you,5,thanks
Good ,5,good
"In case order cancelled by Shopzilla please share basic reason for this for customer satisfaction, same as Shopzilla ask when customer cancel any order.",5,case order cancelled shopzilla please share basic reason customer satisfaction shopzilla ask customer cancel order
All customer service help to my complain resolve,5,customer service help complain resolve
Customer support should be improved ,3,customer support improved
Aapke sellar sahi nahi hai,1,aapke sellar sahi nahi hai
Nice,4,nice
If possible can we have some options more than 5 while giving rating because I have experienced such a nice executive.,5,possible options 5 giving rating experienced nice executive
Thank you ,5,thank
It's very fantastic service ,5,fantastic service
Help less support ,1,help less support
Wonderful job,5,wonderful job
I am not happy because Shopzilla first time deliver effected product,3,not happy shopzilla first time deliver effected product
Verify sellers before allowing them to sell products on website. Haven't received refund and feels like seller is a fraud,2,verify sellers allowing sell products website received refund feels like seller fraud
ok,4,ok
Issue with the Shopzilla policy not with any executive person.,1,issue shopzilla policy not executive person
wonderful customer service ,5,wonderful customer service
very good ,4,good
Close your company ,1,close company
 good support to solve my problem,5,good support solve problem
Thank you for helping,5,thank helping
Automatic cancelation is very Bad of the Shopzilla desicion!,3,automatic cancelation bad shopzilla desicion
Good ????,5,good
Good,5,good
Good ,5,good
Provide direct customer care number ,4,provide direct customer care number
I'll buy product for use my auctions but product isn't supporting that application . And now   also dsnt help Me to replace another laptop ,1,buy product use auctions product supporting application also dsnt help replace another laptop
My query is not resolved  ,1,query not resolved
Our complaint is not solved. Same problem is continue. Your delivery staff not made  delivery a door step. They called me to his delivery office. It's 3 rd time. Your actions are very bad. ,1,complaint not solved problem continue delivery staff not made delivery door step called delivery office 3 rd time actions bad
Pathetic customer service ,1,pathetic customer service
Good ??,5,good
Make the invoices available in My orders tab anytime without discrepancies atleast to the period of warranty ,5,make invoices available orders tab anytime without discrepancies atleast period warranty
Miss helped me to understand about the complain in very easy manner. # ,5,miss helped understand complain easy manner
Very good ,5,good
replace washing machine ordererd on 05 june 2023 which is non working please install on replace or refund the amount,1,replace washing machine ordererd 05 june 2023 non working please install replace refund amount
Customer executive is good in his work.,5,customer executive good work
She was really helpful and good ,5,really helpful good
I dont think feedback or suggestions are important for you as you have not taken any action on my issue. ,1,dont think feedback suggestions important not taken action issue
please avoid such defective product seller,4,please avoid defective product seller
Very good ,5,good
Thanks ??,5,thanks
Thank u,5,thank u
Good ,5,good
V,5,v
Nice,5,nice
plz get my replacement soon i am facing a lot of trouble,4,plz get replacement soon facing lot trouble
Ok ok,4,ok ok
Safe zone ,5,safe zone
Very good,5,good
Very good communication skill ????,5,good communication skill
Please contact,3,please contact
Policy mein bahut   hai customer care mein bhi call  e raho aapki problem ka solution nahi hota,5,policy mein bahut hai customer care mein bhi call e raho aapki problem ka solution nahi hota
She was very polite and charming,5,polite charming
Shopzilla is the worst company,3,shopzilla worst company
Mera problem jaldi solve karo,5,mera problem jaldi solve karo
After delivery. Please support customers if not received the materials from your delivery partner.,4,delivery please support customers not received materials delivery partner
Better samjhay,5,better samjhay
Good experience ,5,good experience
Customer care executive support is good and very polite behavior..,5,customer care executive support good polite behavior
Good ?? person ,5,good person
Nice ??,5,nice
Option for getting money in account rather than gift card on selling back old phone.,5,option getting money account rather gift card selling back old phone
Good service ,5,good service
Nice call with customer care ,5,nice call customer care
Nice experience ,5,nice experience
Change the delivery company ,5,change delivery company
Awesome  service ,5,awesome service
Instead of chat you display customer care number ,5,instead chat display customer care number
Mera pankha bekaar   ,5,mera pankha bekaar
Right way to talk.. Everything is good ,5,right way talk everything good
Lean from SuperBuy ,1,lean superbuy
Thankyou,5,thankyou
Not resolved my issue..,1,not resolved issue
What happen why are you not interested to resolve the problem?,1,happen not interested resolve problem
No Thanks a lot ,5,no thanks lot
V v v v vvvvbbbb good ,4,v v v v vvvvbbbb good
More flexibility ,5,flexibility
Good service ,5,good service
Thank you mam ??       & Nice ?? I love it your Voice ??,5,thank mam nice love voice
I didn't get return for my order that i received misplaced ,3,get return order received misplaced
good,4,good
Ok,5,ok
Thanks,5,thanks
Customer should have proper visibility of refund status. In current case it's show,3,customer proper visibility refund status current case show
Why are u appointed these type fool customer executive?,4,u appointed type fool customer executive
Cknb,5,cknb
Good sarvice ,3,good sarvice
Very good ??,4,good
Happy with customer support executive,5,happy customer support executive
Customer support is very excellent ,4,customer support excellent
Best partition on Shopzilla ,5,best partition shopzilla
Not at all ,2,not
Thanks ,2,thanks
good ??,5,good
Excellent ,5,excellent
Nice ,5,nice
Damaged 4 paked but retun requst 1paked ,2,damaged 4 paked retun requst 1paked
Great service departmentBut dilevery is chutiya ,5,great service departmentbut dilevery chutiya
5,5,5
Good job,5,good job
Customer service mam was excellent in communication skils,5,customer service mam excellent communication skils
No need,4,no need
"Customer executive whom I interacted with, understood my concern and put her best effort to resolved.",5,customer executive interacted understood concern put best effort resolved
Hii,5,hii
Excellent receiving ,5,excellent receiving
Good ,3,good
"I spoke with ashutosh ..his entire format was wrong  zero in opening ,closing,lots of dead air,not followed hold refresh protocol but he was very polite throughout the call.as it was his first call he tried to give his best so I want to encourage him with csat",4,spoke ashutosh entire format wrong zero opening closing lots dead air not followed hold refresh protocol polite throughout call first call tried give best want encourage csat
Nice ,5,nice
good ,5,good
Good,5,good
Very good,5,good
I haven't got the mail yet so please be sure about it,3,got mail yet please sure
Good,5,good
Nice job ??,5,nice job
"CC representative has approved my return request and informed me that I will get refund in next 3 days, in next 3 days I got email from Shopzilla stating that my return request has been canceled.",1,cc representative approved return request informed get refund next 3 days next 3 days got email shopzilla stating return request canceled
Very good,4,good
Customer se   important hai Shopzilla   customer   seller or Shopzilla dono milkar wrong item bhejte hai   charge bhi lagate hai jaise ki customer ka   haram ka hai,1,customer se important hai shopzilla customer seller shopzilla dono milkar wrong item bhejte hai charge bhi lagate hai jaise ki customer ka haram ka hai
Please solve delivery issue,2,please solve delivery issue
Taking so long to Resolve Technical issues ,2,taking long resolve technical issues
Great experience ??,5,great experience
It's good ,4,good
Airdopes issues with problame,2,airdopes issues problame
Good ,5,good
Good job,5,good job
Cancel order the refund you my payment,1,cancel order refund payment
Pls solve my problem ,5,pls solve problem
Very good service I am happy ??,5,good service happy
No,5,no
Good behaviour ,5,good behaviour
"I have only one request, kindly send a hard copy of the bill during the delivery of the grocery products for re-checking the Qty. as my booking & delivery address are different. Please Cooperate.",5,one request kindly send hard copy bill delivery grocery products checking qty booking delivery address different please cooperate
Good,5,good
TOO MUCH TIME TAKEN BY YOU OR YOUR SYSTEM FOR REFUND POLICY.,5,much time taken system refund policy
Good ,5,good
Good ,5,good
My issue is not resolved since long time and in the   lthe issue content is not updated ,4,issue not resolved since long time lthe issue content not updated
"I am happy, customer support services is very good ",5,happy customer support services good
Its all good Thank you !!,5,good thank
My problem easily solveThank you so much ,5,problem easily solvethank much
YOU MUST TAKE IT SERIOUSLYBeing a senior citizen plus member of Shopzilla you must provide some direct contact number as previous which is essential for our daily routine purchasing YOU MUST TIKE. IT SERIOUSLY,5,must take seriouslybeing senior citizen plus member shopzilla must provide direct contact number previous essential daily routine purchasing must tike seriously
Na,5,na
Call was done but executive is not able to slove my issue so please make sure my issue will solved soon,1,call done executive not able slove issue please make sure issue solved soon
Behtareen Experience raha call ka,5,behtareen experience raha call ka
Do early promotion of mayank he deserves it.,5,early promotion mayank deserves
Overall communication is good ,5,overall communication good
Good ,5,good
No thanks ,4,no thanks
Don't resolve my problem ,1,resolve problem
Worst customer support experience. ,1,worst customer support experience
Nice work frm agent just forgot to mention the Plus member script ????,5,nice work frm agent forgot mention plus member script
Good knowledge ,5,good knowledge
My issue is not Resolved by tha Customer executive I want to return this Defected order I receive by mistake very poor customer service of Shopzilla Plz solve my issue ,1,issue not resolved tha customer executive want return defected order receive mistake poor customer service shopzilla plz solve issue
Ok,5,ok
Great job mamThank you very much,5,great job mamthank much
Executive is so nice and helpful ,4,executive nice helpful
I am not happy with Shopzilla ,1,not happy shopzilla
I am happy with customer service team Shopzilla specially telecaller,5,happy customer service team shopzilla specially telecaller
Logistics department is very poor service ,5,logistics department poor service
Resolution time is vey high upto frustration level of customer,5,resolution time vey high upto frustration level customer
Thank you information ,5,thank information
Good ,5,good
Thank you so much ,5,thank much
I am shared my all problems without any douts. Love conversation.,5,shared problems without douts love conversation
  for helping me,5,helping
No,5,no
The customer care lady is very good knowledge about my concern and update my issue very few time taken. Excellent Service ??,5,customer care lady good knowledge concern update issue time taken excellent service
Good,5,good
No response fake promises ,1,no response fake promises
Bakwass,1,bakwass
Customer Support Executive is so good and helpful ,5,customer support executive good helpful
Very good,5,good
Good,5,good
Full of satisfaction,5,full satisfaction
Best,5,best
I am not sure you packed and send me the different fish food by mistake or voluntary... but I don't have good fish.. so I need flowerhorn fish food... ,5,not sure packed send different fish food mistake voluntary good fish need flowerhorn fish food
Jaisa chal   chalne do..   mere bolne se ghanta koi change ayega.. ,5,jaisa chal chalne mere bolne se ghanta koi change ayega
Thik you ,5,thik
Very good person good behavior good very good gay,5,good person good behavior good good gay
Nice information,5,nice information
Good supporting ,5,good supporting
The no. of items in a parcel should be rechecked so that there are no inconveniences caused. As i have received a parcel in which one item is missing ,5,no items parcel rechecked no inconveniences caused received parcel one item missing
Please check the product before dispatch and recive the picture of packaging. ,5,please check product dispatch recive picture packaging
Shopzilla is very very Cheat company it's because of Shopzilla sale fake product ,1,shopzilla cheat company shopzilla sale fake product
Thankyou ,5,thankyou
Supportive and very well spoken customer care executive..Thank you so much for your kind information.,5,supportive well spoken customer care executive thank much kind information
Next level??,5,next level
Very politely ,5,politely
Good ,5,good
Accessible should be much easier ,5,accessible much easier
Very bad experience about product.Defective product deliver ,4,bad experience product defective product deliver
Try to resolve issues more faster ,1,try resolve issues faster
"Proper opening, apology and also acknowledge the issue. over all Good call. However, you can to work on your script to make the conversation more professionally.",5,proper opening apology also acknowledge issue good call however work script make conversation professionally
Mice ,5,mice
Nice meeting,5,nice meeting
M happy with customer support executive ,4,happy customer support executive
Exilent ,5,exilent
good deal,5,good deal
A fantastic organisation! Great cutomer support from beginning to end of the process. Wonderful Experience from Many Years i Am Shopping From Shopzilla. ,5,fantastic organisation great cutomer support beginning end process wonderful experience many years shopping shopzilla
Thanks to Support,5,thanks support
Call me sir,1,call sir
Tq Shopzilla,5,tq shopzilla
Good,5,good
All good no problem ,5,good no problem
Worst experience no one help.,1,worst experience no one help
Good customer service,5,good customer service
Thanks ,5,thanks
Very good ,5,good
Shopzilla chor hai ,1,shopzilla chor hai
All seems good but little improvement in reaching costomer support could be better.,5,seems good little improvement reaching costomer support could better
Agent is very helpful.and quick ,5,agent helpful quick
Good ,5,good
Good ,4,good
Thank you ??,5,thank
Make your policy for customer friendly not only for seller friendly ,4,make policy customer friendly not seller friendly
No,5,no
"Any changes in the policy, should get customer concent before placing order",1,changes policy get customer concent placing order
Helpful person,5,helpful person
Please don't try to cheat us. It's our hard earned money.,1,please try cheat us hard earned money
Good experience ,5,good experience
No,5,no
Thanks Shopzilla ,5,thanks shopzilla
"Delivery agents are in very hurry and just throw away the groceries without give the bill and matching the items  , app doesn't allow to speak to customer care agent nor it has any customer care number or mail id,please remove the bot that you are using in help needed , and change your policy to help customers , I have successfully uninstalled the app and good bye to Shopzilla .",1,delivery agents hurry throw away groceries without give bill matching items app allow speak customer care agent nor customer care number mail id please remove bot using help needed change policy help customers successfully uninstalled app good bye shopzilla
Got a prompt resolution,5,got prompt resolution
  was absolutely amazing with his communication and customer service. I have never spoke to someone ever in Shopzilla who sounded more human and not robotic. Loved the way he handled the call. ,5,absolutely amazing communication customer service never spoke someone ever shopzilla sounded human not robotic loved way handled call
Pls be like SuperBuy,1,pls like superbuy
Lady is good and nice taking happy to service ??,5,lady good nice taking happy service
Very good in help very very good,5,good help good
Ok,4,ok
Best communication ,5,best communication
Excellent ,5,excellent
All are good.. no need to improve ,5,good no need improve
Happy ,5,happy
"Customer support is okay but they taken so much time to resolve, now i will get my next call on 26th of August which is not good even that is not my fault in Product. They sent me this product without any company label and also the wrong product. And now am troubling bcoz of this ..",3,customer support okay taken much time resolve get next call 26th august not good even not fault product sent product without company label also wrong product troubling bcoz
Very good??????,5,good
Very good behaviour accident,5,good behaviour accident
Yes,5,yes
Customer care officer has no adequate knowledge ,2,customer care officer no adequate knowledge
Very Humble Man and Eaisly understand my Concern qnd Responsive personality,5,humble man eaisly understand concern qnd responsive personality
Good ,4,good
Good ??,5,good
Good customer care ,5,good customer care
Nice,5,nice
Very good service by Shopzilla ,5,good service shopzilla
Good,5,good
Ok,5,ok
Excellent ,5,excellent
Thank you  ,5,thank
Excellent ,5,excellent
Reaching call support ,5,reaching call support
Very good ,5,good
Very easily solving issue,5,easily solving issue
Good ,4,good
Good,5,good
Improve services,1,improve services
Well done ,5,well done
Nice person this person solve my query and I am. Happy with this support team no much happy??????,5,nice person person solve query happy support team no much happy
Refund not return after 1month and 7 to 10 days. Shopzilla service are very bad. Customer not satisfaction for this service. Irritate customer for your service.,1,refund not return 1month 7 10 days shopzilla service bad customer not satisfaction service irritate customer service
5,5,5
Very helpful thank you so much,5,helpful thank much
Good knowledge thanks Shopzilla castmar care ???????,5,good knowledge thanks shopzilla castmar care
Policy should be transparent. ,4,policy transparent
Don't keep customer in long hold and try giving resolution,1,keep customer long hold try giving resolution
Very poor ,1,poor
No ,1,no
Nothi g,5,nothi g
Good ?? ,5,good
Why I have to go to a service centre in 1 day if the product is not working properly ??,1,go service centre 1 day product not working properly
Thanks,4,thanks
Mera problem solved kar diya ,5,mera problem solved kar diya
Not information provided,1,not information provided
Good service ,5,good service
Yesterday you told me to give me 5% compensation but today you are telling me that there is no such information mentioned in our system ,1,yesterday told give 5 compensation today telling no information mentioned system
Thanks ,5,thanks
Gorjeus person ,5,gorjeus person
It's very unfortunate that you r taking so many days to resolve a small issue which I never expected. Dis time very very disappointed ?? ,5,unfortunate r taking many days resolve small issue never expected dis time disappointed
working and speakers is not coming,1,working speakers not coming
So good ,5,good
Very good,5,good
"Nice to interact with coustomer care service, he listen my all issues and do their best to resolve it.",5,nice interact coustomer care service listen issues best resolve
Thank you ,5,thank
Good service,5,good service
Good,5,good
Nice support for me,5,nice support
Know how to satisfy his customers... Very well ,5,know satisfy customers well
Shopzilla should more active about delivery agent to deliver the product doorstep.,5,shopzilla active delivery agent deliver product doorstep
Good customer care ,5,good customer care
Pathetic service ,1,pathetic service
"Thank you very much for solving my problem, I am troubled since 2 day's I am very happy for solving my problem today thank you sir",5,thank much solving problem troubled since 2 day happy solving problem today thank sir
I am happy ,4,happy
Customer service not updated ,1,customer service not updated
Good ,5,good
  badiya se solve karne ka try kiye hai thanks sit,5,badiya se solve karne ka try kiye hai thanks sit
Ok,5,ok
Please check brand of prod,5,please check brand prod
Nice ????,5,nice
Good ,5,good
Very good ,5,good
Nice,5,nice
Good ,4,good
Ease in reaching the delivery service provider.even After entering the registered phone number and 3 digit pin the call not connected to delivery person. No call recieved from the delivery person as well only message that they tried calling. But no call recieved from delivery person ,5,ease reaching delivery service provider even entering registered phone number 3 digit pin call not connected delivery person no call recieved delivery person well message tried calling no call recieved delivery person
Good,5,good
Nyc,5,nyc
All good and awesome ??,5,good awesome
  was very professional in her support to me on today's call and it's so good to have customer service agent like this in the organisation that helps customers out each and every time and I really want Shopzilla to have more agents like her that will help us and make us life really easy and better each day thank you.,5,professional support today call good customer service agent like organisation helps customers every time really want shopzilla agents like help us make us life really easy better day thank
Helpful response ,5,helpful response
Excellent ,5,excellent
Speech is not clear..,4,speech not clear
Everything is Good,5,everything good
Better solution,5,better solution
Service is very bed. Policy also bed ,1,service bed policy also bed
Excellent ,5,excellent
I have no problem with Shopzilla but with the delivery boy on my order as he speak me roughly and don't know how to misbehave with customer. I even my colleage to check my order 2time as he can't come but we didn't fine and plus we give a delivery charges in order to deliver us perfectly but he refused and say to that do you want your order or to cancel it's seem like so horrible the way he behaves hope it won't be like this next time and please I dnt want him to deliver me again on my order tq,1,no problem shopzilla delivery boy order speak roughly know misbehave customer even colleage check order 2time come fine plus give delivery charges order deliver us perfectly refused say want order cancel seem like horrible way behaves hope like next time please dnt want deliver order tq
Very good ,5,good
